01-01-2020;291;1407;0
01-02-2020;301;1790;0
01-03-2020;188;1423;0
01-04-2020;100;704;0
01-05-2020;143;809;0
01-06-2020;312;5031;0
01-07-2020;443;8072;0
01-08-2020;255;5188;0
01-09-2020;454;5433;0
01-10-2020;363;4693;0
01-11-2020;304;4425;0
01-12-2020;281;6153;0
01-01-2021;699;3094;0
01-02-2021;495;4396;0
01-03-2021;492;6332;0
01-04-2021;512;7311;0
01-05-2021;421;4901;0
01-06-2021;505;2713;0
01-07-2021;466;3591;0
01-08-2021;469;2937;0
01-09-2021;552;5538;0
01-10-2021;551;4681;0
01-11-2021;481;4294;0
01-12-2021;737;8232;0
01-01-2022;545;3419;0
01-02-2022;705;6659;0
01-03-2022;702;5269;0
01-04-2022;600;3238;0
01-05-2022;582;3914;0
01-06-2022;667;3481;0
01-07-2022;542;2571;0
01-08-2022;660;7114;0
01-09-2022;869;6332;0
01-10-2022;816;8430;0
01-11-2022;643;4018;0
01-12-2022;694;13152;0
01-01-2023;752;6092;0
01-02-2023;790;6015;0
01-03-2023;1138;12325;0
01-04-2023;608;7281;0
01-05-2023;634;3710;0
01-06-2023;859;4273;0
01-07-2023;687;3787;0
01-08-2023;746;3411;0
01-09-2023;749;4171;0
01-10-2023;781;7374;0
01-11-2023;963;14899;0
01-12-2023;811;7487;0
01-01-2024;839;4996;0
01-02-2024;1000;10048;0
01-03-2024;710;4800;0
01-04-2024;649;4031;0
01-05-2024;658;3156;0
01-06-2024;707;4464;3
01-07-2024;1107;3766;94
01-08-2024;852;7601;459
01-09-2024;1262;5159;351
01-10-2024;1412;4889;443
01-11-2024;1165;6747;74
01-12-2024;1247;7433;326
01-01-2025;1451;7815;2854
01-02-2025;1297;6474;741
01-03-2025;1480;8494;206
01-04-2025;1934;5218;206
01-05-2025;1282;6426;87
01-06-2025;1493;8885;181
