X1900009;1;OR;2;2019-01-04T10:30:49;COMPLETE;-;;355359082435414;
X1900209;1;OR;3;2019-03-04T14:32:17;POSTED_WITH_ERRORS;-;;353841088580105/353841089675425/355313089964546/355317080162885/355321081467236/352986099203147/353842088252422/353802083850786/353804088868383/353841087204434/353841088490644/353842086147061/354826094574316/355315085591462/355317086278941/355322084693760/355327089937146/355328081668879/355330085651935/356554084949961/356554085080253/356558085087754/356562082994368/359204077391725/355323084332177/353804088257009/352986090685938/356558089209875/352986095771253/355327082715234/355323084622957/355326083284596/354826090369778/356562089878580/356559088658468/352986093908238;
X1900297;1;OR;2;2019-03-26T16:05:54;COMPLETE;-;;359212073351601/355325080467667/359213077129134/353804089521338;
X1900343;1;OR;2;2019-04-09T16:40:39;COMPLETE;-;;353805089726934/355314084003322/355315083905094/355319083215710/355319083918545;
X1900341;1;OR;2;2019-04-09T16:40:17;COMPLETE;-;;353805089726447/353841082466368/353842081938050/353843081289791/353844080294709/355317080579468/355319083464029/355323089550724/355324081875663/359209075329700/353071095209577/353071095281857;
X1900350;1;OR;2;2019-04-09T17:00:31;COMPLETE;-;;356563081670025;
X1900348;1;OR;2;2019-04-09T17:00:21;COMPLETE;-;;356560082393458;
X1900349;1;OR;2;2019-04-09T17:00:26;COMPLETE;-;;356558083065232/359205075320939;
X1900347;1;OR;2;2019-04-09T17:00:16;COMPLETE;-;;356139091757480/359484088978567/359484088978625/359484088978922/359484088979078/359484088979839;
X1900370;1;OR;2;2019-04-10T08:02:14;COMPLETE;-;;353803089626733/353805083443353/353843081697217/353844080106820/355314081620300/355326080659063/359210073812598/359212075808004/353804089651820/355328082024502/355328082024759/355328083180808/359207075559557/359214071934354/353803082033721/353805083528567/353841089095962/353844089888915/355314081791051/355327083253201/355328083769873/356562085705159;
X1900351;1;OR;2;2019-04-10T08:00:20;COMPLETE;-;;359484088978674;
X1900377;1;OR;3;2019-04-10T08:02:56;POSTED_WITH_ERRORS;-;;353842081733261/355313081698712/355317081932781/355326080666597/359152074199296/359206073588055/359214073109401/359214073284246;
