DP2300091;BELLON SA;1;24212613//;;;055812440
DP2100239;BMRA POINT P RHONE ALPES;1;1295227/7224424177/;;;057802753
PT20055;SODEXO SA;1;24212613/9931083319/7854573063;;;301940219
DP2200022;SAINT-GOBAIN ISOVER SCE COMPTABILITE F;1;1295227/7224424177/;;;312379076
X2001305;SAINT-GOBAIN ACHATS;1;1295227/7224424177/;;N;329255749
DP2100348;FRANCE TÉLÉVISIONS PUBLICITÉ;1;1506168//;;;332050038
DP2300050;SODEXO PASS INTERNATIONAL;1;24212613/9931083319/;;;350925384
DP2100238;BMCE - POINT P;1;1295227/7224424177/;;;390398055
DP2100043;DALKIA NORD DSW;1;/7723828581/;;;404434987
PM20199;SODEXO SOTECH SERVICES;1;24212613//;;;437512460
DP2100058;DALKIA;1;/7723828581/;;;456500537
X990327;COMPASS GROUP FRANCE;1;1500671//;;;632041042
