X2001146;1;OR;2;2020-11-17T15:20:16;;-;;354622102028118;
K2100415;1;OR;2;2021-02-19T15:30:08;;-;;355521119392476;
K2100417;1;OR;2;2021-02-19T17:37:48;;-;;354046116244729;
K2100418;1;OR;2;2021-02-19T17:41:26;;-;;354046113764752;
K2100421;1;OR;2;2021-02-19T17:48:59;;-;;354046113768167;
K2100420;1;OR;2;2021-02-19T17:47:49;;-;;354046113771336;
K2100419;1;OR;2;2021-02-19T17:46:03;;-;;354046113768225;
K2100425;1;OR;2;2021-02-19T17:52:34;;-;;354046113767813;
K2100424;1;OR;2;2021-02-19T17:52:05;;-;;354046113758317;
K2100423;1;OR;2;2021-02-19T17:51:26;;-;;354046113767920;
K2100422;1;OR;2;2021-02-19T17:51:17;;-;;354046113758143;
K2100519;1;OR;2;2021-03-04T09:32:41;;-;;351551683035155;
K2100532;1;OR;2;2021-03-05T15:39:24;;-;;351551682888448;
K2100533;1;OR;2;2021-03-05T15:41:15;;-;;351551683081290;
K2100625;1;OR;2;2021-03-23T09:56:11;;-;;355212097812608/356650095551992/352814109809655/354071092460362/356650099619258/356650099628929/358651089746281/352602096382723/356650092341199/352602096388407/352814101709820/357960100597644/352814109810083/352814109090900/352602096383259/356650095586584/352814109745842/352814106859414/354046112190769/354046112175224;
K2100747;1;OR;2;2021-04-06T12:54:28;;-;;354046113771443;
K2100874;1;OR;2;2021-04-16T11:47:24;;-;;351551682855876;
K2101029;1;OR;2;2021-05-05T17:26:45;;-;;351551683025263;
K2101030;1;OR;2;2021-05-05T17:27:40;;-;;351551683030438;
K2101032;1;OR;2;2021-05-05T17:30:23;;-;;351551683108192;
K2101031;1;OR;2;2021-05-05T17:29:11;;-;;351551683036534;
K2101033;1;OR;2;2021-05-05T18:06:57;;-;;351551684215145;
K2101034;1;OR;2;2021-05-05T18:09:23;;-;;351551684215160/351551684215590/351551684218917/351551684219816/351551684232470/351551684267336/351551684295626/351551684296681/351551684298315;
K2101057;1;OR;2;2021-05-11T09:48:57;;-;;354046116456323/351551684296731;
K2101066;1;OR;2;2021-05-12T12:30:19;;-;;351551684627356;
K2101099;1;OR;2;2021-05-19T11:57:47;;-;;351551684627455/351551684627281;
K2101101;1;OR;2;2021-05-19T12:52:07;;-;;351551684558049/351551684526509;
K2101189;1;OR;2;2021-06-07T11:11:29;;-;;351551684558874/351551684546234/351551684546499/351551684546861/351551684547141/351551684547166/351551684580381/351551684602821/351551684605584/351551684610188/351551684613422/351551684546663/351551684546846/351551684604595/351551684605444/351551684611251/351551684612358/351551684614222/351551684614248/351551684614339/351551684614388/350281373691338/350281373624420/350281373686189/350281373691346/350281373693458/350281373693680;
K2101193;1;OR;2;2021-06-07T14:14:46;;-;;351551684614560;
K2101203;1;OR;2;2021-06-09T13:48:51;;-;;350281373679978/350281373680760/350281373686197/350281373691247/350281373691353/350281373693854/350281373694035/350281373694233/350281373687880/350281373688060/350281373692757/350281373694050/351551684494021/351551684618223;
K2101402;1;OR;2;2021-07-02T14:11:43;;-;;351551684546184/351551684547323/351551684614024/351551684546739/351551684601989/351551684546580/351551684546200/351551684546689/351551684610220/351551684607606/351551684614644/350281373685066/350281373685140;
K2101419;1;OR;2;2021-07-06T11:48:06;;-;;354566518896479/351551684610261;
K2101428;1;OR;2;2021-07-07T13:38:02;;-;;351551684581389/351551684591560/351551684591719;
K2101450;1;OR;2;2021-07-09T16:48:38;;-;;354566518897121/354566518868866/354566518875200/354566518881992/354566518882875/354566518865292/354566518868718/354566518881638/354566518881737/354566518882032/354566518882677/354566518897014/354566518905783/354566518919081/354566518919396/354566518919438/354566518919578;
K2101461;1;OR;2;2021-07-13T10:09:53;;-;;351551684581405/351551684582098;
K2101475;1;OR;2;2021-07-15T16:30:34;;-;;351551684616300/351551684589085/354566519398848/354566519416095/354566519416715/354566519420063/354566519420378/354566519421681/354566519422770/354566519432233/354566519432944/354566519433157/354566518878295/354566518879699/354566518879848/354566518879863/354566518879947/354566518880127/354566518881232/354566518897063/354566518919453/354566518919529/354566519416558/354566519416681/354566519434783/354566519435202;
K2101480;1;OR;2;2021-07-16T16:09:22;;-;;351551684602557/351551684604587/354566518877586/354566518878246/354566518878576;
K2101487;1;OR;2;2021-07-20T10:03:47;;-;;351921583719093/351921583720810/354566518896842/354566518895877/354566518906104/354566518873759/354566518898871/354566518881968/354566518886355/354566518895430/354566518919834/354566518883030/354566518883840/354566518879954/354566518919750/354566518906096/354566518865755/354566518886652/354566518918885;
K2101564;1;OR;2;2021-08-02T09:25:30;;-;;350751175149271/351551684583328/351551684608851/351551684608117/354566519549903/351551684546713/351551684546887;
K2101677;1;OR;2;2021-08-06T13:37:27;;-;;351551684543561/351551684546978/351551684616722/351551684616623/351551684607341/351551684546937/351551684518159/351551684516484/351551684517904/351551684516633/351551684516518/354566519265567/354566519130233/354566519269098/354566519270021/354566519271201/354566519269908/354566519269023/354566518926623;
K2101692;1;OR;2;2021-08-09T16:50:49;;-;;350751176267643/357107761677311/357107761684028;
K2101726;1;OR;2;2021-08-13T16:18:42;;-;;350131656570578;
K2101727;1;OR;2;2021-08-13T16:20:40;;-;;350131651722000;
K2101728;1;OR;2;2021-08-13T16:23:26;;-;;350131651725383/350131651745555;
K2101747;1;OR;2;2021-08-17T11:20:37;;-;;350131656564902/350131656570966/359609107295722/351777110196175/358585103755805/355521118851266;
K2101767;1;OR;2;2021-08-20T12:18:04;;-;;353100560964075/353100560963762;
K2101773;1;OR;2;2021-08-23T11:33:48;;-;;355183627470730;
K2101774;1;OR;2;2021-08-23T11:34:30;;-;;355183627472165;
K2101775;1;OR;2;2021-08-23T12:01:51;;-;;355183627469468;
K2101788;1;OR;2;2021-08-24T11:08:24;;-;;355183627501153;
K2101787;1;OR;2;2021-08-24T11:06:26;;-;;355183627502854;
K2101789;1;OR;2;2021-08-24T11:12:14;;-;;355183627442556;
K2101805;1;OR;2;2021-08-25T14:24:15;;-;;355183627468825;
K2101806;1;OR;2;2021-08-25T14:29:22;;-;;355183627470953;
K2101809;1;OR;2;2021-08-25T15:07:04;;-;;351551684565598/353100560948987/350131656562039/350131656583696/350131656583779/350131656583803/350131656585121/350131656588646/350131656588711/350131656588729/350131656588760/350131656589537/354566519423919;
K2101860;1;OR;2;2021-08-30T09:49:33;;-;;350131656568531/351551684517847/351551684608760/351551684563411/351551684542589/351551684516468;
K2101872;1;OR;2;2021-08-31T16:12:47;;-;;354566519397279/354566519433975;
K2102157;1;OR;2;2021-10-07T15:20:43;;-;;353100564622034;
K2102188;1;OR;2;2021-10-12T13:54:21;;-;;355183627447399;
K2102226;1;OR;2;2021-10-18T14:32:44;;-;;351452968821718/355183627446615;
K2102255;1;OR;2;2021-10-20T16:51:34;;-;;355183624957804/355183625121871;
K2102263;1;OR;2;2021-10-21T14:27:06;;-;;355183625055541/355183624958059/355183625052886/355183624957739;
K2102276;1;OR;2;2021-10-22T15:03:26;;-;;355183625125344;
K2102275;1;OR;2;2021-10-22T15:00:17;;-;;355183625053124/355183625122036/355183625125088;
K2102277;1;OR;2;2021-10-22T15:13:24;;-;;355183625047936;
K2102303;1;OR;2;2021-10-27T09:42:33;;-;;351921586187314/351921586186688;
K2102306;1;OR;2;2021-10-27T15:24:00;;-;;350504681630163/350504681632391/355183625127266/355183625125021;
K2102315;1;OR;2;2021-10-28T13:43:46;;-;;355183625052829;
K2102357;1;OR;2;2021-11-04T12:15:54;;-;;358974103359364;
K2102407;1;OR;2;2021-11-16T10:12:14;;-;;353100564594639/353100564619311/351996305309704/350504681500499/350504689359138/350504689358270/350504689258595/350504689358320/350504689360680/350504681627474/350212140260503;
K2102448;1;OR;2;2021-11-24T09:25:52;;-;;350212141401924/350212141401601/350212141401064/350212141401973/350212141401882/350212141392073/350212141388733/350212141395134/350212141397247/350212141388238/350212141504396/350212141388998/350212141387958/350212141392016/350212141404902/350212141480480/350212141388436/350212141388972/350212141388444/350212141388873/350212141096948;
K2102460;1;OR;2;2021-11-25T13:58:39;;-;;352106554838911;
K2102462;1;OR;2;2021-11-25T14:03:29;;-;;352106554845015;
K2102461;1;OR;2;2021-11-25T14:01:05;;-;;352106554849520;
