X2001146;2;;X2001305;F4E93A0;7224424177;2020-11-17T15:20:16;1
K2100415;2;;DP2100043;F4E93A0;7723828581;2021-02-19T15:30:08;1
K2100417;2;;DP2100043;F4E93A0;7723828581;2021-02-19T17:37:48;1
K2100418;2;;DP2100043;F4E93A0;7723828581;2021-02-19T17:41:26;1
K2100421;2;;DP2100043;F4E93A0;7723828581;2021-02-19T17:48:59;1
K2100420;2;;DP2100043;F4E93A0;7723828581;2021-02-19T17:47:49;1
K2100419;2;;DP2100043;F4E93A0;7723828581;2021-02-19T17:46:03;1
K2100425;2;;DP2100043;F4E93A0;7723828581;2021-02-19T17:52:34;1
K2100424;2;;DP2100043;F4E93A0;7723828581;2021-02-19T17:52:05;1
K2100423;2;;DP2100043;F4E93A0;7723828581;2021-02-19T17:51:26;1
K2100422;2;;DP2100043;F4E93A0;7723828581;2021-02-19T17:51:17;1
K2100519;2;;DP2100043;F4E93A0;7723828581;2021-03-04T09:32:41;1
K2100532;2;;DP2100058;F4E93A0;7723828581;2021-03-05T15:39:24;1
K2100533;2;;DP2100058;F4E93A0;7723828581;2021-03-05T15:41:15;1
K2100625;3;;DP2100043;F4E93A0;7723828581;2021-03-23T09:56:11;1
K2100747;2;;DP2100043;F4E93A0;7723828581;2021-04-06T12:54:28;1
K2100874;2;;X2001305;F4E93A0;7224424177;2021-04-16T11:47:24;1
K2101029;2;;DP2100043;F4E93A0;7723828581;2021-05-05T17:26:45;1
K2101030;2;;DP2100043;F4E93A0;7723828581;2021-05-05T17:27:40;1
K2101032;2;;DP2100043;F4E93A0;7723828581;2021-05-05T17:30:23;1
K2101031;2;;DP2100043;F4E93A0;7723828581;2021-05-05T17:29:11;1
K2101033;2;;DP2100043;F4E93A0;7723828581;2021-05-05T18:06:57;1
K2101034;2;;DP2100043;F4E93A0;7723828581;2021-05-05T18:09:23;1
K2101057;2;;DP2100058;F4E93A0;7723828581;2021-05-11T09:48:57;1
K2101066;2;;X2001305;F4E93A0;7224424177;2021-05-12T12:30:19;1
K2101099;2;;DP2100058;F4E93A0;7723828581;2021-05-19T11:57:47;1
K2101101;2;;DP2100058;F4E93A0;7723828581;2021-05-19T12:52:07;1
K2101189;2;;DP2100058;F4E93A0;7723828581;2021-06-07T11:11:29;1
K2101193;2;;DP2100058;F4E93A0;7723828581;2021-06-07T14:14:46;1
K2101203;2;;DP2100058;F4E93A0;7723828581;2021-06-09T13:48:51;1
K2101402;2;;DP2100058;F4E93A0;7723828581;2021-07-02T14:11:43;1
K2101419;2;;DP2100058;F4E93A0;7723828581;2021-07-06T11:48:06;1
K2101428;2;;DP2100043;F4E93A0;7723828581;2021-07-07T13:38:02;1
K2101450;2;;DP2100058;F4E93A0;7723828581;2021-07-09T16:48:38;1
K2101461;2;;DP2100058;F4E93A0;7723828581;2021-07-13T10:09:53;1
K2101475;2;;DP2100058;F4E93A0;7723828581;2021-07-15T16:30:34;1
K2101480;2;;DP2100043;F4E93A0;7723828581;2021-07-16T16:09:22;1
K2101487;2;;X2001305;F4E93A0;7224424177;2021-07-20T10:03:47;1
K2101564;2;;DP2100058;F4E93A0;7723828581;2021-08-02T09:25:30;1
K2101677;2;;DP2100058;F4E93A0;7723828581;2021-08-06T13:37:27;1
K2101692;2;;X2001305;F4E93A0;7224424177;2021-08-09T16:50:49;1
K2101726;2;;DP2100058;F4E93A0;7723828581;2021-08-13T16:18:42;1
K2101727;2;;DP2100058;F4E93A0;7723828581;2021-08-13T16:20:40;1
K2101728;2;;DP2100058;F4E93A0;7723828581;2021-08-13T16:23:26;1
K2101747;2;;DP2100058;F4E93A0;7723828581;2021-08-17T11:20:37;1
K2101767;2;;DP2100043;F4E93A0;7723828581;2021-08-20T12:18:04;1
K2101773;2;;X2001305;F4E93A0;7224424177;2021-08-23T11:33:48;1
K2101774;2;;X2001305;F4E93A0;7224424177;2021-08-23T11:34:30;1
K2101775;2;;X2001305;F4E93A0;7224424177;2021-08-23T12:01:51;1
K2101788;2;;X2001305;F4E93A0;7224424177;2021-08-24T11:08:24;1
K2101787;2;;X2001305;F4E93A0;7224424177;2021-08-24T11:06:26;1
K2101789;2;;X2001305;F4E93A0;7224424177;2021-08-24T11:12:14;1
K2101805;2;;X2001305;F4E93A0;7224424177;2021-08-25T14:24:15;1
K2101806;2;;X2001305;F4E93A0;7224424177;2021-08-25T14:29:22;1
K2101809;2;;DP2100058;F4E93A0;7723828581;2021-08-25T15:07:04;1
K2101860;2;;DP2100058;F4E93A0;7723828581;2021-08-30T09:49:33;1
K2101872;2;;X2001305;F4E93A0;7224424177;2021-08-31T16:12:47;1
K2102157;2;;X2001305;F4E93A0;7224424177;2021-10-07T15:20:43;1
K2102188;2;;X2001305;F4E93A0;7224424177;2021-10-12T13:54:21;1
K2102226;2;;X2001305;F4E93A0;7224424177;2021-10-18T14:32:44;1
K2102255;2;;X2001305;F4E93A0;7224424177;2021-10-20T16:51:34;1
K2102263;2;;X2001305;F4E93A0;7224424177;2021-10-21T14:27:06;1
K2102276;2;;X2001305;F4E93A0;7224424177;2021-10-22T15:03:26;1
K2102275;2;;X2001305;F4E93A0;7224424177;2021-10-22T15:00:17;1
K2102277;2;;X2001305;F4E93A0;7224424177;2021-10-22T15:13:24;1
K2102303;2;;X2001305;F4E93A0;7224424177;2021-10-27T09:42:33;1
K2102306;2;;X2001305;F4E93A0;7224424177;2021-10-27T15:24:00;1
K2102315;2;;X2001305;F4E93A0;7224424177;2021-10-28T13:43:46;1
K2102357;2;;DP2100043;F4E93A0;7723828581;2021-11-04T12:15:54;1
K2102407;2;;DP2100043;F4E93A0;7723828581;2021-11-16T10:12:14;1
K2102448;2;;DP2100058;F4E93A0;7723828581;2021-11-24T09:25:52;1
K2102460;2;;X2001305;F4E93A0;7224424177;2021-11-25T13:58:39;1
K2102462;2;;X2001305;F4E93A0;7224424177;2021-11-25T14:03:29;1
K2102461;2;;X2001305;F4E93A0;7224424177;2021-11-25T14:01:05;1
K2102472;2;;X2001305;F4E93A0;7224424177;2021-11-26T14:04:37;1
K2102497;2;;X2001305;F4E93A0;7224424177;2021-11-30T11:08:15;1
K2102498;2;;X2001305;F4E93A0;7224424177;2021-11-30T11:08:24;1
